,,,,,,,,,,1338235.161
Material Issue Date,Issued To Code,Item Code,Item Desc.,Item Group,Item Category,Item Type,Issue Qty,Base UOM,Landed Rate,Landed Amount
08-10-2022,LIUGONG,55A7924,BUSHING 55A7924,SMPL,FG01,Finished Goods,2,NOS,344,688
08-10-2022,LIUGONG,CO40059,CO2 MIG WIRE 1.20,SMP,FCI,Consumables,75,Kg,97,"7,275.00"
08-10-2022,LIUGONG,CO40037,WHITE PAINT MARKER,SMP,Stationary C,Stationery,1,NO,40,40
01-10-2022,LIUGONG,CO400142,GREEN STICKER FOR VECV,SMP,Stationary C,Stationery,200,NOS,0.28,56
01-10-2022,LIUGONG,CO40059,CO2 MIG WIRE 1.20,SMP,FCI,Consumables,75,Kg,97,"7,275.00"
01-10-2022,LIUGONG,SSMB000825,ESSAB NOZZLE,SMP,MCSP,Store Item,2,SET,"1,020.00","2,040.00"
01-10-2022,LIUGONG,CO40002,LEATHER GLOVES,SMP,Welding item,Consumables,3,NO,150,450
01-10-2022,LIUGONG,CO40022,BLACK GOGGLE,SMP,Welding item,Consumables,3,NO,17,51
01-10-2022,LIUGONG,CO40021,COTTON WASTE,SMP,Welding item,Consumables,1,Kg,42,42
01-10-2022,LIUGONG,CO40024,WHITE GLASS,SMP,Welding item,Consumables,50,NO,2.5,125
01-10-2022,LIUGONG,CS50924,TIP HOLDER 600 AMP PANASONIC,CO,SP01,Store Item,1,Kg,220,220
01-10-2022,LIUGONG,SSMB000826,ESSAB TIP (1.6MM),SMP,MCSP,Store Item,1,SET,204,204
01-10-2022,LIUGONG,SSMB000862,WELDING ELECTRODE 5MM,NA,MCSP,Store Item,2,Kg,375,750
01-10-2022,LIUGONG,CT20078,"FLAP DISC WHEEL 4""",SMP,Punch,Consumables,10,NO,21,210
01-10-2022,LIUGONG,CS50374,CUTTING WHEEL 4'',SMP,Punch,Consumables,18,NOS,13,234
01-10-2022,LIUGONG,CS5106411,Grinding Wheel 4 inch,SMP,SP01,Store Item,10,NOS,34,340
